命中条件1,命中条件2,两个条件均命中,代码,名称,市场简称,最新价,收盘价(季线),总市值(日线不复权),13日均线(季线),21日均线(季线),34日均线(季线),销售毛利率,销售毛利率,销售毛利率,加权净资产收益率ROE,加权净资产收益率ROE,加权净资产收益率ROE,上市板块,是否ST,证券类型,流通市值(日线不复权),涨跌幅,最高价(日线不复权),量比,IN_OPTIONAL,涨跌额,序号,成交额,成交量(股),最低价(日线不复权),市盈率(动)(倍),市净率(倍),换手率,市场码
Y,,,600690,海尔智家,SH,21.40,21.40,2006.81亿,24.04,23.51,20.41,,,,,,,上交所主板,否,A股,1338.15亿,0.56,21.81,1.35,False,0.12,46,17.18亿,7962.16万,21.12,10.79,1.60,1.27,1
Y,,,600703,三安光电,SH,16.16,16.16,806.23亿,13.58,18.12,18.27,,,,,,,上交所主板,否,A股,806.23亿,-7.39,17.88,1.31,False,-1.29,53,77.25亿,4.66亿,15.90,298.64,2.31,9.34,1
Y,,,600741,华域汽车,SH,17.68,17.68,557.40亿,17.19,17.61,17.78,,,,,,,上交所主板,否,A股,557.40亿,-1.01,17.98,0.88,False,-0.18,49,3.99亿,2246.42万,17.59,11.20,0.82,0.71,1
Y,,,600760,中航沈飞,SH,47.29,47.29,1340.72亿,47.92,45.71,35.42,,,,,,,上交所主板,否,A股,1338.10亿,-1.27,47.89,0.51,False,-0.61,22,7.68亿,1619.33万,47.13,203.19,5.64,0.57,1
Y,Y,Y,600809,山西汾酒,SH,131.41,131.41,1603.16亿,190.29,226.08,167.76,74.85|2025年报,76.20|2024年报,75.31|2023年报,33.48|2025年报,39.68|2024年报,43.06|2023年报,上交所主板,否,A股,1603.16亿,-1.97,133.58,0.83,False,-2.64,5,9.88亿,752.45万,130.33,7.45,3.56,0.62,1
Y,,,600845,XD宝信软,SH,23.14,23.14,664.30亿,29.21,28.88,22.59,,,,,,,上交所主板,否,A股,493.82亿,-1.49,23.93,0.89,False,-0.35,44,6.17亿,2636.27万,23.00,43.56,6.17,1.24,1
Y,,,600886,国投电力,SH,13.36,13.36,1069.40亿,13.88,12.14,9.91,,,,,,,上交所主板,否,A股,995.88亿,-0.15,13.45,1.04,False,-0.02,61,7.23亿,5458.24万,13.09,12.62,1.55,0.73,1
Y,Y,Y,600887,伊利股份,SH,27.61,27.61,1746.43亿,26.23,28.12,26.93,34.58|2025年报,33.88|2024年报,32.58|2023年报,20.87|2025年报,15.81|2024年报,20.20|2023年报,上交所主板,否,A股,1737.75亿,-0.61,27.99,0.73,False,-0.17,38,13.41亿,4833.72万,27.49,8.09,2.93,0.77,1
Y,,,600905,三峡能源,SH,4.11,4.11,1174.95亿,4.38,5.02,-,,,,,,,上交所主板,否,A股,1174.95亿,-1.20,4.16,0.79,False,-0.05,96,7.72亿,1.87亿,4.11,28.24,1.31,0.65,1
,Y,,600938,中国海油,SH,36.51,,1.74万亿,,,,51.47|2025年报,53.63|2024年报,49.88|2023年报,15.64|2025年报,19.36|2024年报,19.55|2023年报,上交所主板,否,A股,1091.65亿,1.25,36.67,1.12,False,0.45,1,15.72亿,4333.50万,35.65,11.08,2.07,1.45,1
Y,,,600941,中国移动,SH,97.97,97.97,2.12万亿,98.80,-,-,,,,,,,上交所主板,否,A股,884.44亿,-0.57,99.55,1.43,False,-0.56,8,15.34亿,1553.87万,97.70,18.09,1.49,1.72,1
,Y,,600988,赤峰黄金,SH,37.64,,715.31亿,,,,52.46|2025年报,43.84|2024年报,32.58|2023年报,27.14|2025年报,25.13|2024年报,14.61|2023年报,上交所主板,否,A股,626.30亿,-5.14,38.86,1.10,False,-2.04,33,24.44亿,6444.65万,37.25,18.10,5.01,3.87,1
,Y,,600989,宝丰能源,SH,28.48,,2088.54亿,,,,35.92|2025年报,33.15|2024年报,30.40|2023年报,24.84|2025年报,15.55|2024年报,15.72|2023年报,上交所主板,否,A股,2088.54亿,0.56,29.16,1.21,False,0.16,11,29.07亿,1.02亿,27.81,14.26,4.26,1.39,1
Y,,,601006,大秦铁路,SH,5.42,5.42,1091.98亿,6.14,5.74,5.40,,,,,,,上交所主板,否,A股,1091.98亿,1.31,5.43,0.96,False,0.07,84,7.21亿,1.34亿,5.33,11.45,0.66,0.66,1
Y,,,601012,隆基绿能,SH,15.60,15.60,1182.18亿,18.85,32.02,26.52,,,,,,,上交所主板,否,A股,1182.18亿,-4.29,16.28,1.38,False,-0.70,54,38.70亿,2.46亿,15.55,-15.39,2.34,3.24,1
Y,,,601066,中信建投,SH,22.17,22.17,1719.66亿,23.56,24.42,-,,,,,,,上交所主板,否,A股,1440.09亿,-1.38,22.56,0.80,False,-0.31,45,2.65亿,1192.77万,22.01,11.72,1.99,0.18,1
,Y,,601100,恒立液压,SH,116.02,,1555.62亿,,,,41.58|2025年报,42.83|2024年报,41.74|2023年报,16.63|2025年报,16.81|2024年报,18.69|2023年报,上交所主板,否,A股,1555.62亿,6.38,118.74,1.82,False,6.96,18,21.19亿,1846.14万,109.18,59.63,8.70,1.38,1
Y,,,601111,中国国航,SH,6.74,6.74,1176.02亿,7.68,8.42,8.44,,,,,,,上交所主板,否,A股,784.41亿,-3.99,6.98,1.38,False,-0.28,75,10.19亿,1.50亿,6.71,17.15,2.67,1.29,1
,Y,,601126,四方股份,SH,76.51,,637.41亿,,,,30.22|2025年报,32.33|2024年报,34.44|2023年报,17.75|2025年报,16.62|2024年报,15.47|2023年报,上交所主板,否,A股,631.27亿,3.28,79.55,1.00,False,2.43,37,27.36亿,3607.06万,73.10,58.87,12.33,4.37,1
Y,,,601127,赛力斯,SH,83.26,83.26,1450.38亿,98.82,81.65,55.33,,,,,,,上交所主板,否,A股,1296.53亿,-2.10,85.30,0.83,False,-1.79,13,18.24亿,2177.46万,82.88,48.06,3.51,1.40,1
Y,,,601186,中国铁建,SH,6.59,6.59,894.89亿,7.83,7.39,7.56,,,,,,,上交所主板,否,A股,758.06亿,-1.05,6.67,1.24,False,-0.07,78,4.29亿,6486.23万,6.58,5.09,0.32,0.56,1
Y,,,601211,国泰海通,SH,15.44,15.44,2721.91亿,15.81,14.99,14.57,,,,,,,上交所主板,否,A股,2083.92亿,-1.72,15.76,0.91,False,-0.27,55,21.21亿,1.36亿,15.39,10.65,0.83,1.01,1
